file	wells	ID	i	rmVol	adVol	name	conc	type	solvent
CHO.txt	A-H1-2	start	0	0	100	-	-	-	media
	A-H1-2	cellSeed	2	0	100	CHO	9000	total	
	A-H1-2	move1	285	0	0	-	-	-	
	A-H1-2	mediaReplace	307	100	100	-	-	-	
	B1, F2	toxinAdd	611	0	22.2	-	-	-	
	A1, C-H1					TcdA	1000, 100, 1, 0.1, 0.01, 0.001, 0.0001	final	
	A-E2, G-H2					TcdB			
CHO-t2.txt	A-H1-2	start	0	0	50	-	-	-	
	A-H1-2	cellSeed	2	0	80	CHO	12000	total	
	A-H1-2	mediaReplace	570	100	100	-	-	-	
	A-C1	toxinAdd	624	0	20	TcdB	1000, 100, 10	start	
	D1					-	-	-	
	E-F1					TcdB	10, 0.285714	final	
	G-H1, A2				70	TcdB	100, 10, 1	final	
	B2					-	-	-	
	C-E2, G-H2				120	TcdB	80, 8, 0.8, 10, 1	final	
	F2					-	-	-	
HCT8.txt	A-H3-4	start	0	0	100	-	-	-	
	A-C3, A-B4	cellSeed	2	0	100	HCT8	30000, 15000, 20000, 20000, 10000	total	
	D-H3, C-H4						5000		
	A3-4	toxinAdd	287	0	22.2	TcdA	100	final	
	C3					TcdB	100	final	
	B3, D-H3, B-H4	move1			0	-	-	-	
	A-H3-4	mediaReplace	722	100	100	-	-	-	
	D-H3	toxinAdd	731	0	22.2	TcdA	500, 100, 10, 1, 0.1	final	
	C4					-	-	-	
	D-H4					TcdB	500, 100, 10, 1, 0.1	final	
	A-C3, A-B4	move2			0	-	-	-	
	A-H3-4	mediaReplace2	1231	100	100	-	-	-	
HCT8-t2.txt	A-H1-2	start	0	0	100	-	-	-	
	A-H1-2	cellSeed	8	0	100	HCT8	30000	total	
	A1	toxinAdd	28706	0	22.2	-	-	-	
	B-C1, E-H1					TcdB	1000, 100, 10, 1, 0.1, 0.01	final	
	D1	pipetteError				-	-	-	
	A2, D2	toxinAdd	28711	0	22.2	-	-	-	
	B-C2, E-H2					TcdB	1000, 100, 10, 1, 0.1, 0.01	final	
	A-H1	move1	28711		0	-	-	-	
	A-H2		28706						
HCT8-t3.txt	A-H1-2	start	0	0	100	-	-	-	
	A-H1-2	cellSeed	2	0	100	HCT8	60000	total	
	A1	toxinAdd	331	0	22.2	TcdB	1	final	
						gdTcdB	100	final	
	B1					TcdB	1	final	
						gdTcdB	10	final	
	C1					TcdA	100	final	
						gdTcdB	1000	final	
	D1					TcdB	1	final	
	E1					TcdA	100	final	
	F-G1					gdTcdB	1000, 100	final	
	H1					-	-	-	
	A2		342	0	22.2	TcdB	1	final	
						gdTcdB	100	final	
	B2					TcdB	1	final	
						gdTcdB	10	final	
	C2					TcdA	100	final	
						gdTcdB	1000	final	
	D2					TcdB	1	final	
	E2					TcdA	100	final	
	F-G2					gdTcdB	1000, 100	final	
	H2					-	-	-	
HCT8-t4.txt	A-H3-4	start	0	0	100	-	-	-	
	A-H3-4	cellSeed	2	0	100	HCT8	60000	total	
	A3	toxinAdd	355	0	22.2	TcdB	1	final	
						gdTcdB	100	final	
	B3					TcdB	1	final	
						gdTcdB	10	final	
	C3					TcdA	100	final	
						gdTcdB	1000	final	
	D3					TcdB	1	final	
	E3					TcdA	100	final	
	F-G3					gdTcdB	1000, 100	final	
	H3					-	-	-	
	A4		369	0	22.2	TcdB	1	final	
						gdTcdB	100	final	
	B4					TcdB	1	final	
						gdTcdB	10	final	
	C4					TcdA	100	final	
						gdTcdB	1000	final	
	D4					TcdB	1	final	
	E4					TcdA	100	final	
	F-G4					gdTcdB	1000, 100	final	
	H4					-	-	-	
HCT8-t5.txt	A-H1-2	start	0	0	100	-	-	-	
	A-H1-2	cellSeed	2	0	100	HCT8	60000	total	
	A-H1-2	media1	144	100	100	-	-	-	
	A-H1-2	media1	272	100	100	-	-	-	
	A1-2	toxinAdd	1449	0	22.2	-	-	-	
	C-H1					TcdA	100, 10, 1,  0.1, 0.01, 0.001	final	
	B-H2					TcdB	1000, 100, 10, 1, 0.1, 0.01, 0.001		
	B1	pipetteError				xTcdAx	1000		
HCT8-t6.txt	A-H3-4	start	0	0	100	-	-	-	
	A-H3-4	cellSeed	2	0	100	HCT8	60000	total	
	A3, B4	toxinAdd	633, 646	0	22.2	TcdA	100	final	media
	B3		633			-	-	-	
	A4	pipetteError	646			-	-		
	C3, D4	toxinAdd				TcdA	100	final	hanks
	D3, C4					-	-	-	
	E4	machineError	646			TcdA	100	final	media
	F3	toxinAdd	633			-	-	-	
	E3, F4		633, 646			TcdA	100	final	
	G3, H4								hanks
	H3, G4					-	-	-	
	A-H3-4	media1	2890	100	100	-	-	-	media
HUVEC-r1.txt	A-H3-4	start	0	0	100	-	-	-	
	A-H3-4	cellSeed	2	0	100	HUVEC	5000	total	
	A-H3-4	replaceMedia	1794	100	100	-	-	-	
	D3-4	toxinAdd	1910	0	22.2	-	-	-	
